X,Y,OBJECTID,WARD,BLDG_NAME,ADDRESS
-89.2729408356437,43.0766838668528,4823,1,Westminster Senior Apartments,6160 Dell Dr
-89.295605444109,43.0528870191654,4824,2,Fire Station #14,3201 Dairy Dr
-89.295605444109,43.0528870191654,4825,3,Fire Station #14,3201 Dairy Dr
-89.297224436303,43.0728313180467,4826,4,City Church,4909 E Buckeye Rd
-89.2923910180215,43.0785543944988,4827,5,Elvejhem Elementary School,5106 Academy Dr
-89.2923910180215,43.0785543944988,4828,6,Elvejhem Elementary School,5106 Academy Dr
-89.2647632852251,43.0919452714229,4829,7,Door Creek Church,6602 Dominion Dr
-89.2709135034259,43.1021946845254,4830,8,Steamfitters Local 601 Training Center,6310 Town Center Dr
-89.2830282822767,43.0875706920907,4831,9,Oak Park Place,718 Jupiter Dr
-89.2922520866134,43.0852777592656,4832,10,Messiah Lutheran Church,5202 Cottage Grove Rd
-89.3026193342444,43.0893980818089,4833,11,New Beginnings Church,602 Acewood Blvd
-89.2973563889009,43.0942724578951,4834,12,Kennedy Elementary School,221 Meadowlark Dr
-89.3186858164148,43.1178417804675,4835,13,Hy-Vee,3801 E Washington Ave
-89.3193109129117,43.0627750417664,4836,14,LaFollette High School,702 Pflaum Rd
-89.3207801243239,43.0782950360543,4837,15,Lake Edge United Church of Christ,4200 Buckeye Rd
-89.317914058689,43.0841589932217,4838,16,Pinney Library,516 Cottage Grove Rd
-89.3235092017615,43.0924909671398,4839,17,Whitehorse Middle School,218 Schenk St
-89.3464665418125,43.1016422551209,4840,18,Hawthorne Library,2707 E Washington Ave
-89.3356416539468,43.0924297558136,4841,19,Olbrich Gardens,3330 Atwood Ave
-89.3119987987989,43.1089641740867,4842,20,Nakoosa Fleet Facility,4151 Nakoosa Tr
-89.3119987987989,43.1089641740867,4843,21,Nakoosa Fleet Facility,4151 Nakoosa Tr
-89.2794444135924,43.1442858472232,4844,22,Fire Station #11,4011 Morgan Way
-89.2839113532891,43.156423594613,4845,23,Oakwood Village Prairie Ridge,5565 Tancho Dr
